date,strategy,zone,bias,opt,strike_type,entry_time,ep,xp,exit_reason,pnl,cam_level,touch_time,year
2021-11-09,cam_l3,pdh_to_r1,bull,PE,ITM1,10:54:38,161.8,128.2,target,2520.0,18014.13,10:54:36,2021
2021-11-12,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,126.2,62.95,target,4743.75,,,2021
2021-11-16,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,155.2,123.85,target,2351.25,,,2021
2021-11-17,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,92.8,73.4,target,1455.0,,,2021
2021-11-22,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,161.65,243.0,hard_sl,-6101.25,,,2021
2021-11-26,v17a,s1_to_s2,bear,CE,ATM,09:16:02,144.85,72.35,target,5437.5,,,2021
2021-11-29,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,182.05,90.4,target,6873.75,,,2021
2021-12-01,cam_h3,tc_to_pdh,bear,CE,OTM1,14:16:28,47.55,95.2,hard_sl,-3573.75,17080.74,14:16:26,2021
2021-12-03,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,117.0,175.85,hard_sl,-4413.75,,,2021
2021-12-07,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,101.4,50.25,target,3836.25,,,2021
2021-12-10,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,149.65,135.15,eod,1087.5,,,2021
2021-12-14,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,117.75,147.9,eod,-2261.25,,,2021
2021-12-15,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,109.35,111.4,lockin_sl,-153.75,,,2021
2021-12-17,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,197.1,297.6,hard_sl,-7537.5,,,2021
2021-12-20,v17a,s1_to_s2,bear,CE,ATM,09:16:02,133.3,66.55,target,5006.25,,,2021
2021-12-21,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,111.9,55.8,target,4207.5,,,2021
2021-12-24,v17a,r1_to_r2,bear,PE,ATM,09:20:02,177.05,205.25,eod,-2115.0,,,2021
2021-12-29,cam_l3,within_cpr,bull,PE,ITM1,09:17:26,99.15,78.9,target,1518.75,17209.8,09:17:24,2021
2021-12-31,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,134.4,107.05,target,2051.25,,,2021
2022-01-03,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,108.25,86.4,target,1638.75,,,2022
2022-01-05,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,91.0,72.35,target,1398.75,,,2022
2022-01-10,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,91.05,49.85,eod,3090.0,,,2022
2022-01-11,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,116.5,92.85,target,1773.75,,,2022
2022-01-17,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,110.0,87.55,target,1683.75,,,2022
2022-01-18,cam_l3,r1_to_r2,bull,PE,ITM1,09:37:56,151.0,227.0,hard_sl,-5700.0,18283.33,09:37:54,2022
2022-01-21,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,156.95,123.8,target,2486.25,,,2022
2022-01-25,cam_h3,pdl_to_bc,bear,CE,OTM1,14:53:00,265.0,271.0,eod,-450.0,17278.98,14:52:58,2022
2022-01-28,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,212.8,299.0,eod,-6465.0,,,2022
2022-01-31,v17a,r1_to_r2,bear,PE,ATM,09:20:02,228.05,208.85,eod,1440.0,,,2022
2022-02-01,v17a,r2_to_r3,bear,PE,ATM,09:20:02,253.1,201.2,target,3892.5,,,2022
2022-02-04,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,213.55,170.5,target,3228.75,,,2022
2022-02-08,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,120.8,181.65,hard_sl,-4563.75,,,2022
2022-02-14,v17a,s3_to_s4,bear,CE,ITM1,09:20:02,158.0,94.75,target,4743.75,,,2022
2022-02-15,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,128.25,63.4,target,4863.75,,,2022
2022-02-18,cam_h3,pdl_to_bc,bear,CE,OTM1,11:14:11,212.6,176.9,eod,2677.5,17333.34,11:14:09,2022
2022-02-21,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,191.1,152.2,target,2917.5,,,2022
2022-02-23,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,91.55,137.7,hard_sl,-3461.25,,,2022
2022-02-25,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,220.6,186.5,eod,2557.5,,,2022
2022-03-02,v17a,within_cpr,bear,CE,ATM,09:16:02,195.2,155.75,target,2958.75,,,2022
2022-03-04,v17a,s1_to_s2,bear,CE,ATM,09:16:02,231.85,232.2,lockin_sl,-26.25,,,2022
